Order ID,Customer Zip Code,Product,Purchase Date,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Customer Name,Customer State,Customer City
1-143-51064-X,35273,Coffee,7/4/2020,Coca-Cola,Coffee,151,2141,4956,-2815,Angela Wilson,California,East Danielleview
1-163-25655-2,55509,Coffee,4/9/2021,Coca-Cola,Coffee,624,1620,1156,464,Zachary Wheeler,Wisconsin,New Kimberlyshire
0-345-30366-0,93236,Wine,3/10/2022,Coca-Cola,Alcoholic,853,9978,1030,8948,Jeremy Arroyo,Massachusetts,Vickieshire
1-4844-8219-0,34895,Green Tea,5/10/2023,Dr. Pepper,Tea,962,5974,5279,695,Andrew Fleming,Arizona,Albertberg
1-85816-387-0,90201,Vodka,11/19/2020,Dr. Pepper,Alcoholic,719,3928,2828,1100,Caroline Smith,Indiana,Johnsonstad
0-493-90603-7,28547,Lemonade,9/14/2021,Dr. Pepper,Soft Drink,650,4708,4619,89,Charles Schmidt,Utah,Hughesland
1-4807-1762-2,12974,Coffee,2/25/2021,Pepsi,Coffee,101,1398,955,443,Monica Mercado,North Carolina,Whitakershire
1-86050-751-4,52603,Cola,12/17/2020,Dr. Pepper,Soft Drink,472,6069,4533,1536,Katherine Robinson,Oregon,New Teresa
1-55729-850-5,19798,Cola,12/21/2021,Coca-Cola,Soft Drink,562,9883,7180,2703,James Salazar,Iowa,New Jessicaton
1-971855-58-8,63040,Energy Drink,5/1/2022,Coca-Cola,Soft Drink,245,8617,1709,6908,Maurice Hall,Maryland,South Heather
1-79959-753-9,42266,Coffee,7/4/2023,Dr. Pepper,Coffee,554,2116,1486,630,Brenda Adams,Utah,South Devintown
1-355-52725-2,38850,Herbal Tea,2/27/2021,Dr. Pepper,Tea,502,3428,5865,-2437,Joshua Jones,Missouri,Nicoletown
0-408-49597-9,19214,Energy Drink,4/13/2023,Dr. Pepper,Soft Drink,179,3093,3532,-439,Jordan Rasmussen,Colorado,Johnfurt
1-4034-4066-2,71193,Beer,4/17/2021,Dr. Pepper,Alcoholic,935,5668,3070,2598,David King,Maryland,East Dianahaven
1-230-47174-X,84534,Cola,7/29/2020,Pepsi,Soft Drink,526,3082,7115,-4033,Jose Murphy,Maryland,South Amyview
0-320-91549-2,5244,Cola,11/17/2022,Dr. Pepper,Soft Drink,671,5743,4554,1189,Hunter Hall,Nevada,North Nicholas
0-560-70787-8,2714,Wine,2/5/2021,Coca-Cola,Alcoholic,279,3759,3448,311,Troy Hernandez,Kansas,North Ashleyhaven
